PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
MUNDIAL INSTALACIONES AVANZADAS  S.A. DE C.V.,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0066/2005,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/07/2006,	29/06/2006,	3 MESES,	67860.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
MUNDIAL INSTALACIONES AVANZADAS  S.A. DE C.V.,	COMITE ADMINISTRADOR DEL PROGRAMA FEDERAL DE CONSTRUCCIÓN DE ESCUELAS,	0002/2006,	LA EMPRESA MUNDIAL INSTALACIONES AVANZADAS  S.A. DE C.V. PRESENTO PARA LA ADJUDICACION DE LOS CONTRATO DE OBRA PUBLICA  RELATIVOS A LAS LICITACIONES 11140-077-014-05  11140-077-022-05  POLIZAS DE SEGURO DE RESPONSABILIDAD CIVIL  QUE FUERON DESCONOCIDAS POR LA COMAPAÑIA ASEGURADORA  TODA VEZ QUE NO EXISTEN EN LOS REGISTROS DE LA MISMA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/08/2006,	11/08/2006,	3 AÑOS 3 MESES,	926640.00,	CONCEPCIÓN GARCÍA PALMEROS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0010/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D850301,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0011/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D850233,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0012/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO <br>NO. BIAG85002,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0076/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D85239,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0173/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO  NO. D950386,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDO MEDICO DEL NORTE  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0174/2009,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D90085,	.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/08/2011,	29/07/2011,	7 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
MUNDUS TOURS DE MÉXICO  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0023/2014,	LA EMPRESA MUNDUS TOURS DE MÉXICO  S.A. DE C.V.  OMITIÓ FORMALIZAR EL CONTRATO QUE LE FUE ADJUDICADO MEDIANTE FALLO DE 11 DE ABRIL DE 2014.,	,	SANCIONATORIA CON MULTA,	29/01/2018,	26/01/2018,	,	201870.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
MURO PAVIMENTOS Y CONSTRUCCIONES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0012/2014,	78 FRACCIÓN IV  DE LA LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS   <br>PROPORCIONAR INFORMACIÓN FALSA Y ACTUAR CON DOLO EN UN PROCEDIMIENTO DE CONTRATACIÓN.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/08/2015,	21/08/2015,	2 AÑOS,	803024.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
MURO PAVIMENTOS Y CONSTRUCCIONES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0013/2014,	78 FRACCIÓN IV  DE LA LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS  <br>PROPORCIONAR INFORMACIÓN FALSA Y ACTUAR CON DOLO EN UN PROCEDIMIENTO DE CONTRATACIÓN.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/08/2015,	21/08/2015,	2 AÑOS,	803024.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
MURO PAVIMENTOS Y CONSTRUCCIONES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0014/2014,	78 FRACCIÓN IV  DE LA LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS  <br>PROPORCIONAR INFORMACIÓN FALSA Y ACTUAR CON DOLO EN UN PROCEDIMIENTO DE CONTRATACIÓN,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/08/2015,	21/08/2015,	2 AÑOS,	803024.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
MYSLAB S.A DE C.V.; CONTROL Y PROCESO S.A DE C.V.; VALIDACIÓN Y METROLOGIA S.A DE C.V.,	SERVICIO NACIONAL DE SANIDAD  INOCUIDAD Y CALIDAD AGROALIMENTARÍA,	0001/2017,	PRESENTE DOCUMENTACIÓN O INFORMACIÓN FALSA O ALTERADA CON EL PROPÓSITO DE LOGRAR UN BENEFICIO O  <br>VENTAJA,	SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO  CALIBRACIÓN  VERIFICACIÓN Y CALIFICACIÓN PARA EQUIPO DE LABORATORIO DEL SENASICA PARA EL 2016,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	08/05/2017,	28/04/2017,	1 AÑO,	371528.23,	LILLIAN MORALES PATIÑO,	14/01/2021 08:01
NAHÍN HERNÁNDEZ HERRERA,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0010/2018,	EL PROVEEDOR PROPORCIONÓ INFORMACIÓN NO VERAZ  <br>CONTRATO NO. S6M0070,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	31/12/2018,	21/12/2018,	1 AÑO,	452848.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
NAHUI  INGENIEROS CIVILES  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0045/2015,	PRESENTAR INFORMACIÓN FALSA DENTRO DEL PROCEDIMIENTO DE CONTRATACIÓN.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/05/2016,	24/05/2016,	3 MESES,	108655.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
NAHUI  INGENIEROS CIVILES  S.C. DE S.R.L.,	COMISION FEDERAL DE ELECTRICIDAD,	0021/2015,	LA NO FORMALIZACIÓN DEL CONTRATO DN000-050/15 DERIVADO DE LA LICITACIÓN PÚBLICA LO-018TOQ115-N68-2015.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/04/2016,	18/04/2016,	3 MESES,	105150.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
NAHUI  INGENIEROS CIVILES  S.C. DE S.R.L.,	COMISION FEDERAL DE ELECTRICIDAD,	0022/2015,	NO FORMALIZACIÓN DEL CONTRATO DN000-059/15,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/04/2016,	18/04/2016,	3 MESES,	105150.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
NAMASKAR AUTOMOTIVE  S. DE R.L.,	COMISION FEDERAL DE ELECTRICIDAD,	0034/2011,	NO FORMALIZO EL CONTRATO DENTRO DEL TÉRMINO DE QUINCE DÍAS CONCEDIDO PARA ELLO,	AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,	SANCIONATORIA CON MULTA,	13/01/2012,	02/01/2012,	,	89730.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
NANCY ASMÍN CRUZ ROSALES,	COMISION DE OPERACIÓN Y FOMENTO DE ACTIVIDADES ACADEMICAS DEL IPN,	0002/2018,	NO REALIZÓ LA ENTREGA DE LOS BIENES DE LA PARTIDA 27  CONSISTENTES EN 4 HORNOS DE MICROONDAS 21   MARCA SHARP  MODELO R-21LV  MANDOS TÁCTILES COMPUTARIZADOS  SELECTA POWER CON DISTINTOS NIVELES DE POTENCIA 100%  POTENCIA DE SALIDA 1000 W  CAJA E INTERIOR DEL HORNO DE ACERO INOXIDABLE  FUNCIONES ESPECIALES  10 MEMORIAS  TECLA PARA CANTIDAD DOBLE  DESCONGELACIÓN RÁPIDO Y COMPROBACIÓN DE MEMORIA EXPRESS DEFROST.,	AIRE ACONDICIONADO  ACCESORIOS EQUIPO MEDICO  ARTICULOS LIMPIEZA  MOBILIARIO OFICINA  COCINA  RESTAURANTE  FERRETERIA  REFACCIONES Y UNIFORMES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/03/2019,	28/02/2019,	3 MESES,	23327.04,	HUMBERTO GUILLERMO MAYA GARCIA,	14/01/2021 08:01
NAOKURE MEX  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0006/2015,	LA EMPRESA NO FORMALIZÓ EL CONTRATO 700448733.,	,	SANCIONATORIA CON MULTA,	19/04/2016,	14/04/2016,	,	108655.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
NAUTICA INDUSTRIAL  S.A. DE C.V.,	FONDO NACIONAL DE FOMENTO AL TURISMO Y EMPRESAS DE PARTICIPACIÓN ACCIONARIA DE LA ENTIDAD,	0018/2005,	,	Compra venta  importacion  exportacion  distribucion  fabricacion  consignacion  comision  representacion y comercio en general de toda clase de articulos deportivos  de campismo  nauticos  articulos de flotacion.,	,	,	,	3 MESES,	,	LIC. ENRIQUE DUPLAN MOLINA,	14/01/2021 08:01
NAVAL SUPPLIERS INC,	SECRETARIA DE MARINA,	0002/2019,	EL PROVEEDOR NO ENTREGÓ EL BIEN OBJETO DEL CONTRATO Y NO REINTEGRÓ EL ANTICIPO OTORGADO.,	CUALQUIER Y TODOS LOS NEGOCIOS LEGALES <br> <br>SE PRECISA QUE LA EMPRESA NAVAL SUPPLIERS INC  AL SER EXTRANJERA NO CUENTA CON RFC NACIONAL  POR LO QUE SE ASENTÓ UN RFC CON ESTRUCTURA NACIONAL QUE NO CORRESPONDE A CITADA EMPRESA  LO ANTERIOR PARA CONTINUAR CON EL REGISTRO DEL EXPEDIENTE  SIENDO EL RFC Y/O TAX NUMBER DE CITADA EMPRESA EL 263884981.,	SANCIONATORIA CON MULTA,	15/08/2019,	12/08/2019,	,	100935.00,	FRANCISCO JULÍAN  ARCE TAPIA,	14/01/2021 08:01
NAVIERA DEL GOLFO NAGOMEX  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0156/2007,	HABER EXHIBIDO DOCUMENTO AL PARECER APOCRIFO DENTRO DE SU OFERTA  EN EL CUAL LA SECRETARIA DE COMUNICACIONES Y TRANSPORTES LE RECONOCIO LA CAPACIDAD PARA ACTUAR COMO AGENTE NAVIERO CONSIGNATARIO DE BUQUES EN CIUDAD DEL CARMEN,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	31/12/2010,	03/12/2010,	3 AÑOS 9 MESES,	1131577.50,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
NETCOM DEL GOLFO  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0439/2005,	HABER PROPORCIONADO INFORMACION FALSA AL MANIFESTAR QUE NO SE ENCUENTRA EN LOS SUPUESTOS DEL ART. 50,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/07/2010,	22/07/2010,	1 AÑO 10 MESES,	519480.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
NEUROCOLUMNA  S.A. DE C.V.,	HOSPITAL REGIONAL DE ALTA ESPECIALIDAD EN IXTAPALUCA,	0002/2018,	UNA MISMA ACCIONISTA EN LAS TRES EMPRESAS QUE PARTICIPARON EN EL PROCEDIMIENTO,	PRESTACION Y ADMINISTRACION DE SERVICIOS MEDICOS; COMERCIALIZACIÓN  DISTRIBUCIÓN  VENTA Y RENTA DE INSUMOS  MATERIAL  ARTICULOS Y EQUIPO MÉDICO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/08/2018,	17/08/2018,	3 MESES,	109560.00,	PABLO VILLARREAL SALAZAR,	14/01/2021 08:01
NEW MILLENNIUM TRAVEL  S.A. DE C.V.,	COMISION NACIONAL DE CULTURA FISICA Y DEPORTE,	0004/2007,	NEW MILLENNIUM TRAVEL  S.A. DE C.V.  PROPORCIONÓ INFORMACIÓN FALSA EN LA LICITACIÓN 00620001-004-07  YA QUE PRESENTÓ PROPUESTA DE MANERA CONJUNTA CON OPERADORA COCOYOC  S.A. DE C.V.  Y PRESENTARON MANIFIESTO BAJO PROTESTO DE DECIR VERDAD QUE NO SE ENCONTRABAN EN NINGUNO DE LOS SUPUESTOS DEL ARTÍCULO 50 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  SIENDO QUE SE ENCUENTRA INHABILITADA ACTUALMENTE POR TRES MESES POR RESOLUCIÓN DEL ÓRGANO INTERNO DE CONTROL EN EL INSTITUTO POÍTÉCNICO NACIONAL.,	SERVIR DE INTERMEDIARIO ENTRE LOS TURISTAS Y LOS PRESTADORES DE SERVICIOS DE CUALQUIER GÉNERO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	04/07/2007,	20/06/2007,	3 MESES,	70798.00,	MIGUEL RICARDO AGUIRRE BARROSO,	14/01/2021 08:01
NEW MILLENNIUM TRAVEL  S.A. DE C.V.,	INSTITUTO POLITECNICO NACIONAL,	0022/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	ELABORAR ORGANIZAR Y LLEVAR A CABO PROYECTOS  INTERMEDIARIOS TURÍSTICOS  RESERVAR ESPACIOS EN LOS MEDIOS DE TRANSPORTE Y EXPEDIR EN LA DELEGACIÓN DE LOS TRANSPORTES Y A FAVOR DE LOS TURISTAS  LOS CUPONES CORRESPONDIENTES  SERVIR DE INTERMEDIO ENTRE LOS TURISTAS Y LOS PRESTADORES DE SERVICIOS DE TRANSPORTE DE CUAL QUIER GÉNERO; RESERVAR A LOS TURISTAS HABITACIONES Y DEMÁS SERVICIOS CONEXOS EN HOTELES Y ESTABLECIMIENTOS DE HOSPEDAJE  ENTREGÁNDOLES EL COMPROBANTE O CUPÓN CORRESPONDIENTE; PRESTAR A LOS TURISTAS SERVICIOS DE RESERVACIÓN Y ADQUISICIÓN DE BOLETOS PARA ESPECTÁCULOS PÚBLICOS Y SITIOS ATRACCIÓN TURÍSTICA; SERVIR DE INTERMEDIO ENTRE LOS DEMÁS PRESTADORES DE SERVICIOS TURÍSTICOS  Y OTROS SERVICIOS DE VIAJE  ENTRE OTROS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/02/2007,	02/02/2007,	3 MESES,	75438.00,	OSCAR ALEJANDRO BASURTO CORA,	14/01/2021 08:01
NEXTMED  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0029/2018,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. U170544,	LA COMPRA  VENTA  IMPORTACIÓN  FABRICACIÓN  EXPORTACIÓN  TRANSPORTACIÓN  DISTRIBUCIÓN Y EN GENERAL  COMERCIALIZACIÓN DE TODO TIPO DE PRODUCTOS  MATERIALES  APARATOS  MERCANCÍAS  EQUIPOS  MATERIAS PRIMAS ELABORADAS Y SEMIELABORADAS PARA LA INDUSTRIA Y COMERCIO EN CUALQUIERA DE SUS RAMAS.,	SANCIONATORIA CON MULTA,	09/12/2019,	29/11/2019,	,	113235.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
NEXTMOTIV S.A. DE C.V.,	TELEVISION METROPOLITANA  S.A. DE C.V.,	0004/2016,	NO FORMALIZÓ CONTRATO ADJUDICADO POR CAUSAS IMPUTABLES A ÉL,	,	SANCIONATORIA CON MULTA,	12/12/2016,	09/12/2016,	,	109560.00,	JOSÉ DE JESÚS ALAVEZ ROSAS,	14/01/2021 08:01
NEZMOR CONSTRUCCIONES  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0015/2014,	PRESENTÓ INFORMACIÓN FALSA DENTRO DEL PROCEDIMIENTO LICITATORIO PARA ACREDITAR SU CAPACIDAD FINANCIERA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/10/2015,	09/10/2015,	2 AÑOS,	1.00,	,	14/01/2021 08:01
NEZMOR CONSTRUCCIONES  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0017/2014,	PRESENTO INFORMACIÓN FALSA EN EL PROCEDIMIENTO LICITATORIO RELATIVO A SU CAPACIDAD FINANCIERA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/10/2015,	09/10/2015,	2 AÑOS,	1.00,	,	14/01/2021 08:01
NGM SOLAR  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0013/2019,	ART. 60  FRACCIÓN IV  DE LA LAASSP. <br>LA EMPRESA PROPORCIONÓ  INFORMACIÓN FALSA EN LA LICITACIÓN PÚBLICA NACIONAL ELECTRÓNICA NO. LPN-10265001-04/19  PARA EL “SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LOS SISTEMAS DE BOMBEO  HIDROSANITARIO  HIDRONEUMÁTICO  PLANTAS DE EMERGENCIA  SUBESTACIONES ELÉCTRICAS  SISTEMA ELÉCTRICO  TABLEROS DE DISTRIBUCIÓN Y AIRE ACONDICIONADO”  CONVOCADA POR EL INSTITUTO MEXICANO DE LA PROPIEDAD INDUSTRIA  TODA VEZ QUE  EN EL CURRICULUM QUE PRESENTÓ   MANIFESTÓ COMO PARTE DE SU EXPERIENCIA EN EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LOS SISTEMAS DE BOMBEO  HIDROSANITARIO E HIDRONEUMÁTICO Y EQUIPOS CON FALLA  LA SUSCRIPCIÓN DE UN CONTRATO  CON UNA EMPRESA  CUYA APODERADA LEGAL  NO RECONOCIÓ  POR LO QUE LA INFORMACIÓN QUE PROPORCIONÓ ES ES FALSA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/12/2020,	15/12/2020,	1 AÑO 6 MESES,	760410.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
NISIM COMUNICACIONES NACIONALES EMPRESARIALES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0014/2013,	60  FRACCIÓN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>PROPORCIONÓ INFORMACIÓN FALSA DURANTE EL PROCEDIMIENTO DE LICITACIÓN PÚBLICA NACIONAL 11290002-007-10  PARA EL SERVICIO DE ELECTRÓNICA  CONTROL  SELLADO  CARACTERIZACIÓN Y PRUEBAS DE ACTUADORES PARA EL ESPEJO PRIMARIO DEL GTM  AL EXHIBIR UN CONTRATO Y DIVERSAS FACTURAS  PARA ACREDITAR A SUS PRINCIPALES CLIENTES  SIN EMBARGO  ÉSTOS NEGARON TENER RELACIÓN COMERCIAL CON LA LICITANTE.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/12/2013,	11/12/2013,	3 AÑOS 9 MESES,	1335945.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
NISIM COMUNICACIONES NACIONALES EMPRESARIALES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0049/2012,	60 FRACCIÓN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>PROPORCIONÓ INFORMACIÓN FALSA DURANTE LA VIGENCIA DEL CONTRATO PARA EL “SERVICIO DE ELECTRÓNICA  CONTROL  SELLADO  CARACTERIZACIÓN Y PRUEBAS DE ACTUADORES PARA EL ESPEJO PRIMARIO DEL GTM  CON EL INSTITUTO NACIONAL DE ASTROFÍSICA  ÓPTICA Y ELECTRÓNICA  AL EXHIBIR PÓLIZA PARA GARANTIZAR EL CUMPLIMIENTO DE LAS OBLIGACIONES CONTRACTUALES  MISMA QUE LA AFIANZADORA DESCONOCIÓ.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/01/2014,	13/01/2014,	3 AÑOS 9 MESES,	1335945.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
NIZA ÑUDEE ASOCIADOS  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0062/2017,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA.,	MANTENIMIENTOS CORRECTIVOS Y PREVENTIVOS A EQUIPO MÉDICO  INDUSTRIAL Y MOBILIARIO DE OFICINA. COMERCIALIZADORA DE PRODUCTOS VARIOS  INSTALACIÓN Y REPARACIÓN,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/08/2019,	31/07/2019,	2 AÑOS,	117009.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
NOVAMEDIA  S.A. DE C.V. y APL TECHNOLOGY  S.A. DE C.V.,	CONSEJO NACIONAL DE EVALUACIONES DE LA POLITICA DE DESARROLLO SOCIAL,	0001/2018,	POSIBLE COLUSIÓN DE LOS LICITANTES  YA QUE LA EMPRESA NOVAMEDIA  S.A. DE C. V.  PRESENTÓ LA PROPUESTA ECONÓMICA PREVIAMENTE PRESENTADA POR LA EMPRESA APL TECHNOLOGY  S.A. DE C.V.   SIN APORTAR UNA PROPIA.,	DISTRIBUCIÓN Y VENTA DE EQUIPO DE CÓMPUTO Y SUS PERIFÉRICOS  Y EN GENERAL TODO LO RELACIONADO CON LA PRESTACIÓN DE SERVICIOS DE SISTEMAS INFORMÁTICOS Y SUS ACTIVIDADES CONEXAS; ARRENDADORA  PROMOTORA Y CONTRATISTA BAJO CUALQUIER MODALIDAD.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	15/02/2019,	31/12/2018,	6 MESES,	8060.00,	JOSÉ ALFREDO GUTIÉRREZ MATA,	14/01/2021 08:01
NOVEDADES SIGLO XXI  S.A. DE C.V.,	SECRETARIA DE ENERGIA,	0002/2007,	ADQUISICIÓN DE TREINTA KITS DE MANTENIMIENTO PARA IMPRESORA LEXMARK LASER OPTRA S2450N  MISMOS QUE SE ADQUIRIERON A TRAVES DEL PROCEDIMIENTO ARRIBA MENCIONADO  CONSUMIBLES DE CÓMPUTO PARA LA SECRETARÍA DE ENERGÍA   ADJUDICADOS A LA EMPRESA CITADA; AL PROCEDER AL DAR MANTENIMIENTO A DICHOS EQUIPOS  SE IDENTIFICÓ QUE LOS BIENES NO CORRESPONDEN AL MODELO DE LAS IMPRESORAS PARA LAS QUE FUERON ADQUIRIDOS.,	COMPRA  VENTA  IMPORTACIÓN   FABRICACIÓN   MANTENIMIENTO DE ARTÍCULOS EN GENERAL (COMERCIALIZADORA).,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/05/2007,	02/05/2007,	1 AÑO 2 MESES,	362700.00,	LIC. CARLOS ENRIQUE ROSALES GUEVARA,	14/01/2021 08:01
NOXCRETE  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0014/2012,	PRESUNTAMENTE PROPORCIONO INFORMACION FALSA DENTRO DE SUS PROPUESTAS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/06/2013,	10/06/2013,	3 MESES,	93495.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
NUEVO GRUPO LAPOSTOLLE  S.A. DE C.V.,	GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO  S.A.,	0016/2018,	INTEGRÓ EL DOCUMENTO CON OPINIÓN POSITIVA EMITIDA POR EL IMSS ALTERADO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	08/02/2019,	08/02/2019,	1 AÑO 3 MESES,	662700.00,	HÉCTOR YESCAS TORRES,	14/01/2021 08:01
NUTRICIÓN Y FARMACIAS  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0024/2018,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. U170477,	COMPRA VENTA Y DISTRIBUCIÓN DE MEDICAMENTOS PARA USO HUMANO,	SANCIONATORIA CON MULTA,	17/12/2019,	06/12/2019,	,	113235.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
OBRAS  Y DESARROLLOS ESPECIALIZADOS  S.A. DE C.V. Y/0 ALEJANDRO LÓPEZ OBREGÓN,	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL,	0001/2012,	INCUMPLIMIENTO EN QUE INCURRIÓ LA EMPRESA OBRAS Y DESARROLLOS ESPECIALIZADOS  S.A. DE C.V.  REFERENTE A LA CONSTRUCCIÓN DEL CUARTEL PARA LA POLICIA FEDERAL EN EL CENTRO FEDERAL DE READAPTACIÓN SOCIAL NO. 2 OCCIDENTE,	CONSTRUCCCIÓN,	SANCIONATORIA CON MULTA,	10/04/2017,	07/04/2017,	,	84690.00,	LIC. CARLOS HUGO  ROSALDO QUIRO,	14/01/2021 08:01
OBRAS ESPECIALIZADAS GEOTÉCNICAS  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0060/2011,	LA EMPRESA NO FORMALIZÓ EL CONTRATO ADJUDICADO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/02/2014,	04/02/2014,	3 MESES,	92721.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
